number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
4564,Cersei4564,76,24,bd,2000,2076,Fight,Caitlyn4373,0.633567576,0.995842468,0.004157532,0.064179837,0.721562492,0.849021871,0.775882161,0.359515664,0.640484336,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.58037987,0.19622366,0.19622366,4.60659027,1.832172857,0.492397444,1.385581053,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.516496307,43.43687607,0.862959213,0.218736936,1.08390985,1.758189225
4565,Robert4565,,24,br,2000,Alive,Survived,Caitlyn4373,0.633567576,0.995842468,0.004157532,0.064179837,0.721562492,0.849021871,0.775882161,0.359515664,0.640484336,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.58037987,0.19622366,0.19622366,4.60659027,1.832172857,0.492397444,1.385581053,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.516496307,43.43687607,0.862959213,0.218736936,1.08390985,1.758189225
4566,Robert4566,14,24,bd,2000,2014,Fight,Caitlyn4373,0.633567576,0.995842468,0.004157532,0.064179837,0.721562492,0.864935468,0.775882161,0.376364726,0.623635274,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.164466335,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.58356259,0.19622366,0.19622366,4.59910916,1.918039472,0.481164736,1.439081227,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.228057792,0.087597535,0.385725104,0.057014448,0.248960617,59.88182896,2,0.275146866,1.572209925,43.48606435,0.87628689,0.218736936,1.121052262,1.756756428
4567,Jaime4567,2,24,bd,2000,2002,Fight,Caitlyn4373,0.633567576,0.995842468,0.004157532,0.064179837,0.721562492,0.00517478,0.775882161,0.359515664,0.640484336,0.984916919,0.446812385,0.19622366,0.776263167,0.289675263,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.268929111,0.995842468,0.004157532,239.5273159,0.411610452,0.19622366,0.19622366,4.603026487,1.832172857,0.492397444,1.385581053,0.289675263,0.542405424,0.724853134,0.150310431,0.692598891,0.230811354,0.086251463,0.386608389,0.057702839,0.248960617,59.88182896,2,0.275146866,1.516477768,43.4368429,0.862959213,0.217256447,1.083403994,1.700296134
4568,Tyrion4568,162,24,bd,2000,2162,Fight,Caitlyn4373,0.633567576,0.995842468,0.004157532,0.064179837,0.721562492,0.849021871,0.775882161,0.34303366,0.65696634,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.58037987,0.19622366,0.19622366,4.60659027,1.748176852,0.503385446,1.333246383,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.461996415,43.38875936,0.84992188,0.218736936,1.047576589,1.758189225
4569,Cersei4569,12,24,bd,2000,2012,Fight,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.780323728,0.366329009,0.633670991,0.984916919,0.464631297,0.19622366,0.788377813,0.304508681,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.27104817,0.995842468,0.004157532,239.5273159,0.587147376,0.19622366,0.19622366,4.608366897,1.866895197,0.487855214,1.407215203,0.304508681,0.549822133,0.724853134,0.15772714,0.690744714,0.238228063,0.087597535,0.394025098,0.059557016,0.248960617,59.88182896,2,0.275146866,1.539146295,43.45698272,0.868348597,0.228381511,1.1022247,1.761037269
4570,Joanna4570,932,24,brd,2000,2932,Starvation,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.780323728,0.387861253,0.612138747,0.977756232,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.587147376,0.19622366,0.19622366,4.606934759,1.976628365,0.473500385,1.475585705,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.61022469,43.51962672,0.885380691,0.218736936,1.146395439,1.76055989
4571,Robert4571,7,24,bd,2000,2007,Fight,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.725072302,0.889553609,0.780323728,0.374207764,0.625792236,0.984916919,0.464631297,0.19622366,0.788377813,0.283974592,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.614091701,0.385908299,0.268114729,0.995842468,0.004157532,239.5273159,0.587849337,0.19622366,0.19622366,4.608366897,1.90704711,0.482602711,1.43223231,0.283974592,0.539555088,0.724853134,0.147460095,0.70139411,0.227961019,0.087597535,0.383758053,0.056990255,0.248960617,59.88182896,2,0.275146866,1.56500557,43.47963844,0.874580725,0.212980944,1.114330695,1.761271256
4572,Sansa4572,1261,24,brrd,2000,3261,Starvation,Bran4405,0.658253931,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.780323728,0.374207764,0.625792236,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.91184991,0.08815009,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.59836076,0.19622366,0.19622366,4.608366897,1.90704711,0.482602711,1.43223231,0.291649248,0.543392417,0.725226078,0.151297423,0.692445379,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.274773922,1.565077651,43.47976743,0.874580725,0.218736936,1.116297413,1.764775064
4573,Rickon4573,64,24,bd,2000,2064,Fight,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.809492552,0.374207764,0.625792236,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.175113512,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.587147376,0.19622366,0.19622366,4.623200493,1.90704711,0.482602711,1.43223231,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.23338138,0.087597535,0.388386898,0.058345345,0.248960617,59.88182896,2,0.275146866,1.565077651,43.47976743,0.874580725,0.218736936,1.116297413,1.765981801
4574,Hoster4574,563,24,brd,2000,2563,Fight,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.780323728,0.374207764,0.625792236,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.587147376,0.19622366,0.19622366,4.608366897,1.90704711,0.482602711,1.43223231,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.565077651,43.47976743,0.874580725,0.218736936,1.116297413,1.761037269
4575,Robb4575,381,24,bd,2000,2381,Starvation,Bran4405,0.63022047,0.995842468,0.004157532,0.064179837,0.721562492,0.889553609,0.780323728,0.374207764,0.625792236,0.984916919,0.464631297,0.19622366,0.788377813,0.291649248,0.795135585,0.910358134,0.089641866,0.171947445,0.989054402,0.010945598,0.59792643,0.40207357,0.269211109,0.995842468,0.004157532,239.5273159,0.587147376,0.19622366,0.19622366,4.608366897,1.90704711,0.482602711,1.43223231,0.291649248,0.543392417,0.724853134,0.151297423,0.692352143,0.231798347,0.087597535,0.387595382,0.057949587,0.248960617,59.88182896,2,0.275146866,1.565077651,43.47976743,0.874580725,0.218736936,1.116297413,1.761037269
4576,Stannis4576,49,24,bd,2000,2049,Fight,Jon4514,0.432117775,0.971110846,0.028889154,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.665424022,0.284668895,0.13254319,0.040786326,0.959213674,0.64259989,0.656836652,0.343163348,0.420082565,0.579917435,0.231367527,0.971110846,0.028889154,33.61506708,0.392955376,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.424405745,0.313916122,0.487663688,0.463634393,0.073936002,0.336120217,0.115908598,0.242777712,8.403766769,2,0.575594255,0.828431955,6.496492987,0.709867356,0.213501671,0.623455194,1.625516227
4577,Cersei4577,591,24,brd,2000,2591,Fight,Jon4514,0.432117775,0.971110846,0.028889154,0.601051273,0.373289746,0.126863559,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.661562778,0.284668895,0.13254319,0.040786326,0.959213674,0.64259989,0.656836652,0.343163348,0.420082565,0.579917435,0.231367527,0.971110846,0.028889154,33.61506708,0.393088026,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.424405745,0.313916122,0.487663688,0.463634393,0.073506975,0.336120217,0.115908598,0.242777712,8.403766769,2,0.575594255,0.828431955,6.496492987,0.709867356,0.213501671,0.623455194,1.625417435
4578,Hoster4578,505,24,brd,2000,2505,Starvation,Jon4514,0.432117775,0.429475442,0.570524558,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.637842199,0.284668895,0.13254319,0.040215372,0.959784628,0.64259989,0.656836652,0.343163348,0.420082565,0.579917435,0.308744013,0.429475442,0.570524558,0.752772927,0.392955376,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.424263006,0.313916122,0.487628004,0.463634393,0.070871355,0.336120217,0.115908598,0.10736886,0.188193232,2,0.575736994,0.691081998,0.706367723,0.660627774,0.213501671,0.531888556,1.624494678
4579,Ned4579,10,24,bd,2000,2010,Fight,Jon4514,0.432117775,0.959850635,0.040149365,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.665424022,0.284668895,0.13254319,0.040786326,0.959213674,0.657899587,0.681274917,0.318725083,0.420082565,0.579917435,0.232976128,0.959850635,0.040149365,23.90699397,0.392955376,0.102004879,0.102004879,4.424957001,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.430515311,0.301696989,0.492245863,0.471284241,0.073936002,0.339945142,0.11782106,0.239962659,5.976748494,2,0.569484689,0.825576548,4.783492863,0.7088437,0.213501671,0.621551589,1.630616127
4580,Arya4580,26,24,bd,2000,2026,Fight,Jon4514,0.432117775,0.971110846,0.028889154,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.665424022,0.284668895,0.13254319,0.042182867,0.957817133,0.64259989,0.656836652,0.343163348,0.420082565,0.579917435,0.231367527,0.971110846,0.028889154,33.61506708,0.392955376,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.42475488,0.313916122,0.487750972,0.463634393,0.073936002,0.336120217,0.115908598,0.242777712,8.403766769,2,0.57524512,0.828431955,6.496492987,0.709867356,0.213501671,0.623455194,1.625516227
4581,Edmure4581,7,24,bd,2000,2007,Fight,Jon4514,0.432117775,0.971110846,0.028889154,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.665424022,0.284668895,0.13254319,0.040786326,0.959213674,0.64259989,0.656836652,0.343163348,0.435693048,0.564306952,0.231367527,0.971110846,0.028889154,33.61506708,0.392955376,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.424405745,0.313916122,0.49546893,0.463634393,0.073936002,0.336120217,0.115908598,0.242777712,8.403766769,2,0.575594255,0.828431955,6.496492987,0.709867356,0.213501671,0.623455194,1.625516227
4582,Rickon4582,3,24,bd,2000,2003,Fight,Jon4514,0.432117775,0.971110846,0.028889154,0.601051273,0.373289746,0.12620031,0.667005456,0.079948423,0.920051577,0.815296503,0.921258831,0.102004879,0.665424022,0.284668895,0.13254319,0.040786326,0.959213674,0.64259989,0.656836652,0.343163348,0.420082565,0.579917435,0.231367527,0.971110846,0.028889154,33.61506708,0.392955376,0.102004879,0.102004879,4.409657304,0.78377058,0.647369344,0.738303501,0.284668895,0.208606042,0.424405745,0.313916122,0.487663688,0.463634393,0.073936002,0.336120217,0.115908598,0.242777712,8.403766769,2,0.575594255,0.828431955,6.496492987,0.709867356,0.213501671,0.623455194,1.625516227
4583,Joanna4583,23,24,bd,2000,2023,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.981423862,0.609690921,0.366521217,0.412721791,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.591578249,0.100746812,0.899253188,0.112033867,0.379616795,0.609690921,0.609690921,4.853036398,0.046492183,0.850999733,0.314661366,0.412721791,0.701901193,0.575960643,0.25932853,0.456295514,0.302270406,0.04072458,0.502085799,0.075567601,0.025186703,0.028008467,3,0.424039357,0.151900533,0.216834082,0.587762788,0.309541343,0.20444747,1.757792591
4584,Hoster4584,84,24,bd,2000,2084,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.971909103,0.609690921,0.366521217,0.412721791,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.591578249,0.100746812,0.899253188,0.112033867,0.379616795,0.609690921,0.609690921,4.851133446,0.046492183,0.850999733,0.314661366,0.412721791,0.701901193,0.575960643,0.25932853,0.456295514,0.302270406,0.04072458,0.502085799,0.075567601,0.025186703,0.028008467,3,0.424039357,0.151900533,0.216834082,0.587762788,0.309541343,0.20444747,1.757158274
4585,Tyrion4585,2,24,bd,2000,2002,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.971909103,0.609690921,0.366521217,0.414442958,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.59182413,0.100746812,0.899253188,0.112033867,0.379616795,0.609690921,0.609690921,4.851133446,0.046492183,0.850999733,0.314661366,0.414442958,0.702761777,0.575960643,0.260189114,0.456080368,0.30313099,0.04072458,0.502946383,0.075782747,0.025186703,0.028008467,3,0.424039357,0.151916698,0.216863009,0.587762788,0.310832219,0.204888538,1.757158274
4586,Arya4586,2,24,bd,2000,2002,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.971909103,0.609690921,0.366521217,0.412721791,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.591578249,0.100746812,0.899253188,0.112033867,0.379616795,0.609690921,0.609690921,4.851133446,0.046492183,0.850999733,0.314661366,0.412721791,0.701901193,0.575960643,0.25932853,0.456295514,0.302270406,0.04072458,0.502085799,0.075567601,0.025186703,0.028008467,3,0.424039357,0.151900533,0.216834082,0.587762788,0.309541343,0.20444747,1.757158274
4587,Joanna4587,4,24,bd,2000,2004,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.105662939,0.609690921,0.366521217,0.428525871,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.593835975,0.100746812,0.899253188,0.112033867,0.379616795,0.609690921,0.609690921,4.677884213,0.046492183,0.850999733,0.314661366,0.428525871,0.709803233,0.575960643,0.26723057,0.454320004,0.310172446,0.04072458,0.50998784,0.077543112,0.025186703,0.028008467,3,0.424039357,0.152048965,0.217099697,0.587762788,0.321394403,0.208497444,1.699408529
4588,Robert4588,10,24,bd,2000,2010,Fight,Lysa4537,0.831334042,0.100746812,0.899253188,0.861853567,0.262224831,0.483937249,0.750738975,0.028345862,0.971654138,0.258091174,0.971909103,0.609690921,0.366521217,0.412721791,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.591578249,0.100746812,0.899253188,0.112033867,0.654136746,0.609690921,0.609690921,4.851133446,0.046492183,0.850999733,0.314661366,0.412721791,0.701901193,0.575960643,0.25932853,0.456295514,0.302270406,0.04072458,0.502085799,0.075567601,0.025186703,0.028008467,3,0.424039357,0.151900533,0.216834082,0.587762788,0.309541343,0.20444747,1.848664924
4589,Jaime4589,103,24,bd,2000,2103,Fight,Lysa4537,0.145034164,0.100746812,0.899253188,0.861853567,0.254858909,0.483937249,0.638672786,0.028345862,0.971654138,0.258091174,0.971909103,0.609690921,0.366521217,0.412721791,0.991080595,0.409777841,0.590222159,0.191819021,0.894064731,0.105935269,0.254274972,0.745725028,0.591578249,0.100746812,0.899253188,0.112033867,0.378143611,0.609690921,0.609690921,4.80630697,0.046492183,0.850999733,0.314661366,0.412721791,0.701901193,0.575960643,0.25932853,0.456295514,0.302270406,0.04072458,0.502085799,0.075567601,0.025186703,0.028008467,3,0.424039357,0.151900533,0.216834082,0.587762788,0.309541343,0.20444747,1.741725054
4590,Arya4590,3,24,bd,2000,2003,Fight,Edmure4217,0.801790834,0.149261217,0.850738783,0.365633898,0.109893663,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.576973944,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.648305581
4591,Joanna4591,167,24,bd,2000,2167,Fight,Edmure4217,0.801790834,0.209387953,0.790612047,0.365633898,0.109893663,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.404504881,0.209387953,0.790612047,0.264842856,0.576973944,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.052346988,0.066210714,2,0.401521213,1.209013539,1.130958079,0.739935192,0.226721604,0.881582894,1.648305581
4592,Brandon4592,510,24,brd,2000,2510,Wounds,Edmure4217,0.801790834,0.149261217,0.850738783,0.365633898,0.109893663,0.769751753,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.240830405,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.410789353,0.149261217,0.850738783,0.175448939,0.569772196,0.240830405,0.240830405,4.339915465,1.70449522,0.473280619,1.294090353,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.217976726,1.137614056,0.742300577,0.226721604,0.887558352,1.645546433
4593,Edmure4593,4,24,bd,2000,2004,Fight,Edmure4217,0.801790834,0.149261217,0.850738783,0.365633898,0.109893663,0.805760491,0.393153196,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.576973944,0.246208883,0.246208883,4.339349895,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.647758492
4594,Ned4594,262,24,bd,2000,2262,Fight,Edmure4217,0.804188597,0.149261217,0.850738783,0.365633898,0.109893663,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.238190041,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.409657768,0.149261217,0.850738783,0.175448939,0.577933049,0.238190041,0.238190041,4.339387392,1.723389747,0.472400498,1.30639333,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.230266476,1.148491813,0.74629432,0.226721604,0.895751518,1.648090693
4595,Robb4595,650,24,brd,2000,2650,Fight,Edmure4217,0.801790834,0.149261217,0.850738783,0.365633898,0.109893663,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.576973944,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.648305581
4596,Robert4596,3,24,bd,2000,2003,Fight,Edmure4217,0.801790834,0.149261217,0.850738783,0.365633898,0.109893663,0.805760491,0.397256358,0.410023558,0.589976442,0.960587963,0.462345261,0.253882365,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.552959902,0.447040098,0.367524353,0.632475647,0.41638305,0.149261217,0.850738783,0.175448939,0.576973944,0.253882365,0.253882365,4.337572038,1.615013937,0.477945083,1.235990986,0.302295473,0.187046729,0.598478787,0.374667785,0.489714927,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401521213,1.159822613,1.08618485,0.723717787,0.226721604,0.848788943,1.647165873
4597,Melisandra4597,185,24,bd,2000,2185,Fight,Caitlyn4056,0.801790834,0.149261217,0.850738783,0.365633898,0.111290789,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.541681649,0.458318351,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.577253369,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.595659224,0.380306912,0.487600255,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.404340776,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.648398722
4598,Melisandra4598,51,24,bd,2000,2051,Starvation,Caitlyn4056,0.801790834,0.149261217,0.850738783,0.365633898,0.111290789,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.851444585,0.148555415,0.771508391,0.541681649,0.458318351,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.577253369,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.598281559,0.380306912,0.488255838,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.401718441,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.648398722
4599,Stannis4599,57,24,bd,2000,2057,Fight,Caitlyn4056,0.777734279,0.149261217,0.850738783,0.365633898,0.111290789,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.541681649,0.458318351,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.567630747,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.595659224,0.380306912,0.487600255,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.404340776,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.645191182
4600,Robb4600,51,24,bd,2000,2051,Starvation,Caitlyn4056,0.801790834,0.149261217,0.850738783,0.365633898,0.114517758,0.805760491,0.974298785,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.541681649,0.458318351,0.367524353,0.632475647,0.413094415,0.149261217,0.850738783,0.175448939,0.577898763,0.246208883,0.246208883,4.571808131,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.595659224,0.380306912,0.487600255,0.536901932,0.026951638,0.361974331,0.134225483,0.037315304,0.043862235,2,0.404340776,1.193766374,1.116193215,0.734469125,0.226721604,0.871418117,1.725552844
4601,Arya4601,86,24,bd,2000,2086,Fight,Caitlyn4056,0.801790834,0.149425797,0.850574203,0.365633898,0.111290789,0.805760491,0.397256358,0.410494274,0.589505726,0.985357057,0.462345261,0.246208883,0.242564739,0.302295473,0.071797986,0.840955248,0.159044752,0.771508391,0.541681649,0.458318351,0.367524353,0.632475647,0.413070903,0.149425797,0.850574203,0.175676381,0.577253369,0.246208883,0.246208883,4.34099116,1.667260212,0.475073445,1.269864623,0.302295473,0.187046729,0.595659224,0.380306912,0.487600255,0.536901932,0.026951638,0.361974331,0.134225483,0.037356449,0.043919095,2,0.404340776,1.193808109,1.116230586,0.734484087,0.226721604,0.871445941,1.648398722
