number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp
3801,Jon3801,-9975,20,d,10001,26,Starvation,Simulator,0.88868228,0.938912528,0.061087472,0.710349763,0.225996047,0.691417052,0.02193825,0.083182687,0.916817313,0.943625231,0.938143474,0.205088959,0.928025508,0.631113962,0.790530015,0.940813603,0.059186397,0.823421287,0.365549187,0.634450813,0.440277449,0.559722551,0.32963833,0.938912528,0.061087472,15.36996857,0.681025485,0.205088959,0.205088959,5.040098134,0.405593197,0.679574529,0.496920308,0.631113962,0.710821988,0.576590697,0.632782387,0.456090802,0.727267624,0.103113945,0.719044806,0.181816906,0.234728132,3.842492142,3,0.423409303,0.579913854,3.069662552,0.636730994,0.473335471,0.544387727,1.941412521
3802,Stannis3802,-9953,20,gd,10001,48,Fight,Simulator,0.717148889,0.561001774,0.438998226,0.490504073,0.929205314,0.4795259,0.966010896,0.702961106,0.297038894,0.619882305,0.955554275,0.311920271,0.665444114,0.239387555,0.730788994,0.805348052,0.194651948,0.756510061,0.564431024,0.435568976,0.099316218,0.900683782,0.373449514,0.561001774,0.438998226,1.277913533,0.666706613,0.311920271,0.311920271,5.251174783,2.253656369,0.301999353,1.603104031,0.239387555,0.485088274,0.592444769,0.337478265,0.363399735,0.497948808,0.073938235,0.491518541,0.124487202,0.140250444,0.319478383,2,0.407555231,1.673579147,1.630658943,0.798674001,0.179540666,1.17556632,1.99727321
3803,Brandon3803,-9975,20,gd,10001,26,Starvation,Simulator,0.224225086,0.992525514,0.007474486,0.452903557,0.079566562,0.493184905,0.078423469,0.827568831,0.172431169,0.670760782,0.607693806,0.069423528,0.039519484,0.710709355,0.144410217,0.171785711,0.828214289,0.053458899,0.368177448,0.631822552,0.737333625,0.262666375,0.275207775,0.992525514,0.007474486,132.7884576,0.294821039,0.069423528,0.069423528,3.498814127,11.92058169,0.138095288,7.993086223,0.710709355,0.427559786,0.38499079,0.671265953,0.547098022,0.382084127,0.004391054,0.404821956,0.095521032,0.248131378,33.1971144,2,0.61500921,8.125242971,30.49398799,3.072131103,0.533032016,5.594505986,1.26600874
3804,Robb3804,-9609,20,gd,10001,392,Starvation,Simulator,0.133519825,0.321455964,0.678544036,0.248283664,0.524033132,0.226858654,0.573581663,0.092898106,0.907101894,0.206513399,0.082955017,0.775980252,0.733790795,0.576419788,0.012497011,0.906251775,0.093748225,0.187151539,0.509956607,0.490043393,0.575467177,0.424532823,0.654700655,0.321455964,0.678544036,0.473743702,0.25324302,0.775980252,0.775980252,3.642170949,0.119717101,0.86339468,0.367609627,0.576419788,0.2944584,0.604052096,0.533231591,0.555438715,0.381785664,0.081532311,0.338122032,0.095446416,0.080363991,0.118435925,2,0.395947904,0.263047452,0.332623105,0.63384205,0.432314841,0.319469915,1.32564876
3805,Sansa3805,-9991,20,gd,10001,10,Fight,Simulator,0.52010047,0.840304483,0.159695517,0.996703325,0.632289182,0.644474498,0.378048911,0.354984533,0.645015467,0.34128281,0.448378699,0.033214542,0.184977438,0.758521963,0.237118292,0.716159823,0.283840177,0.114639846,0.504157154,0.495842846,0.773182926,0.226817074,0.288265872,0.840304483,0.159695517,5.261916563,0.662733589,0.033214542,0.033214542,3.667552913,10.68762377,0.441081826,7.272109791,0.758521963,0.497820128,0.555079244,0.627182405,0.618565673,0.436580905,0.020553049,0.467200516,0.109145226,0.210076121,1.315479141,2,0.444920756,7.295395377,7.301216636,2.961384964,0.568891472,5.053227408,1.45027985
3806,Lysa3806,-9983,20,gd,10001,18,Fight,Simulator,0.281028643,0.572784376,0.427215624,0.490344065,0.914810994,0.924411411,0.715573558,0.679890015,0.320109985,0.702279834,0.36175255,0.444479007,0.331122255,0.107753907,0.918515905,0.925688859,0.074311141,0.557148668,0.736159001,0.263840999,0.218010804,0.781989196,0.409772365,0.572784376,0.427215624,1.34073836,0.578324751,0.444479007,0.444479007,5.063596275,1.52963358,0.361566326,1.140277829,0.107753907,0.513134906,0.665461965,0.185797453,0.47892153,0.332451287,0.036791362,0.422793097,0.083112822,0.143196094,0.33518459,2,0.334538035,1.206980719,1.227131074,0.663935786,0.08081543,0.83159229,1.892904129
3807,Jon3807,-9974,20,gd,10001,27,Starvation,Simulator,0.534996286,0.446496199,0.553503801,0.099791144,0.263697568,0.477976386,0.879956459,0.022205893,0.977794107,0.901086469,0.189839216,0.741875291,0.248305356,0.575958688,0.37954847,0.729661187,0.270338813,0.883075506,0.877034811,0.122965189,0.821275928,0.178724072,0.62215548,0.446496199,0.553503801,0.806672328,0.382291534,0.741875291,0.741875291,4.981166755,0.029932111,0.899154502,0.319672908,0.575958688,0.477753579,0.651674,0.349461938,0.736190979,0.729517097,0.027589484,0.603635338,0.182379274,0.11162405,0.201668082,3,0.348326,0.237113155,0.338938709,0.647283167,0.431969016,0.302065109,1.797015924
3808,Sansa3808,-9976,20,gd,10001,25,Fight,Simulator,0.790568773,0.897430163,0.102569837,0.315353588,0.916786438,0.616723868,0.018118834,0.681044196,0.318955804,0.807733081,0.36329542,0.287938808,0.611207127,0.040365392,0.376476125,0.640101239,0.359898761,0.086169288,0.794609485,0.205390515,0.913108415,0.086891585,0.286678808,0.897430163,0.102569837,8.749454874,0.686000288,0.287938808,0.287938808,3.761686409,2.365239343,0.308616805,1.679698497,0.040365392,0.208420759,0.608677681,0.122877954,0.828004139,0.06326734,0.067911903,0.135844049,0.015816835,0.224357541,2.187363719,1,0.391322319,1.830141122,3.005373487,0.860720453,0.030274044,1.230185429,1.505199533
3809,Cersei3809,-9983,20,gd,10001,18,Wounds,Simulator,0.184002443,0.483281429,0.516718571,0.351322934,0.996215312,0.71205599,0.185400807,0.34443466,0.65556534,0.992067341,0.90855747,0.287281264,0.034781675,0.880955135,0.625105921,0.462439084,0.537560916,0.623232434,0.437576611,0.562423389,0.713961303,0.286038697,0.465645357,0.483281429,0.516718571,0.935289453,0.485519824,0.287281264,0.287281264,4.760079893,1.198945783,0.532803982,0.976898516,0.880955135,0.753030528,0.475003924,0.721689262,0.545309317,0.752093785,0.003864631,0.752562156,0.188023446,0.120820357,0.233822363,4,0.524996076,0.98096756,0.987777933,0.689790853,0.660716352,0.874217157,1.749821449
3810,Renly3810,-9488,20,grd,10001,513,Wounds,Simulator,0.168386698,0.371519706,0.628480294,0.27714481,0.614043341,0.66222497,0.471654342,0.394438028,0.605561972,0.417762463,0.106281349,0.859101009,0.972561452,0.073467056,0.351063419,0.162070359,0.837929641,0.7940288,0.542207423,0.457792577,0.595556179,0.404443821,0.611321482,0.371519706,0.628480294,0.591139786,0.378037303,0.859101009,0.859101009,4.61038292,0.459128815,0.690074984,0.536110871,0.073467056,0.212265237,0.426069445,0.265629816,0.587887997,0.433747928,0.108062384,0.323006583,0.108436982,0.092879927,0.147784946,2,0.573930555,0.485109015,0.527500026,0.605128463,0.055100292,0.341772774,1.698827536
3811,Sansa3811,-9983,20,gd,10001,18,Wounds,Simulator,0.549446382,0.269878763,0.730121237,0.02095187,0.664533051,0.903433009,0.490441848,0.982936691,0.017063309,0.369639536,0.276434862,0.731704626,0.118876422,0.808588555,0.465385819,0.306205195,0.693794805,0.95063742,0.155692369,0.844307631,0.651339693,0.348660307,0.676260524,0.269878763,0.730121237,0.369635547,0.537562139,0.731704626,0.731704626,4.887755783,1.343351752,0.255277081,0.980660195,0.808588555,0.636987187,0.365474391,0.826448093,0.460426421,0.879612987,0.013208491,0.758300087,0.219903247,0.067469691,0.092408887,4,0.634525609,1.015386966,0.965029375,0.520380185,0.606441416,0.879071783,1.812842138
3812,Brandon3812,,20,g,10001,Alive,Survived,Simulator,0.695074816,0.443351291,0.556648709,0.42031689,0.801817261,0.566352275,0.256840698,0.335759969,0.664240031,0.689222106,0.845325709,0.890072613,0.016639101,0.038137489,0.016470524,0.586927927,0.413072073,0.201181132,0.512304474,0.487695526,0.366771239,0.633228761,0.609286291,0.443351291,0.556648709,0.796465138,0.635727212,0.890072613,0.890072613,3.80531202,0.377227615,0.739517558,0.497990929,0.038137489,0.027304006,0.5248081,0.262916508,0.498858517,0.119659311,0.001848789,0.073481659,0.029914828,0.110837823,0.199116284,1,0.4751919,0.453270651,0.521134074,0.624765487,0.028603117,0.311714806,1.480962674
3813,Jon3813,-9806,20,gd,10001,195,Fight,Simulator,0.50278306,0.171678903,0.828321097,0.421846439,0.92141258,0.977109107,0.406084838,0.481209069,0.518790931,0.00788469,0.345061931,0.248959957,0.560296476,0.234117354,0.2932636,0.992305156,0.007694844,0.807469895,0.536217226,0.463782774,0.226549293,0.773450707,0.401331189,0.171678903,0.828321097,0.207261294,0.665186849,0.248959957,0.248959957,4.383548747,1.932877377,0.428847273,1.431534009,0.234117354,0.263690477,0.632130596,0.348950064,0.434069779,0.520793625,0.062255164,0.392242051,0.130198406,0.042919726,0.051815324,2,0.367869404,1.370476432,1.271230269,0.770081689,0.175588016,0.972180293,1.703663587
3814,Tywin3814,-9860,20,gd,10001,141,Starvation,Simulator,0.370845225,0.15037795,0.84962205,0.001637268,0.084741383,0.86950491,0.701524597,0.605702714,0.394297286,0.669769606,0.488406498,0.845841433,0.227931498,0.425828499,0.79091057,0.033265683,0.966734317,0.098295068,0.397676498,0.602323502,0.404572534,0.595427466,0.687567835,0.15037795,0.84962205,0.176993935,0.339514802,0.845841433,0.845841433,4.570618984,0.716094873,0.544812002,0.659000583,0.425828499,0.608369534,0.357735545,0.514076,0.413201153,0.262061783,0.025325722,0.435215659,0.065515446,0.037594488,0.044248484,2,0.642264455,0.591356287,0.597452365,0.550477481,0.319371374,0.50069465,1.645153169
