Final Stats
Block,orgTotal,startOrg,orgAlive,endTurn,forcedReproductionEvents,unableToActTurns,starveDeath,woundDeath,fightDeath,cullDeath,reproductionDeath,foodHarvest,foodReap,foodConsumed,foodShared,foodStolen,replenishedAmount,asexualReproductionEvents,sexualReproductionEvents,shareEvents,theftEvents,fightEvents,harvestEvents,reapEvents,consumeEvents,replenishEvents,wanderMoves,moveMoves,huntMoves,
Final,3800.0,200.0,200.0,10000.0,20.0,0.0,432.0,156.0,2844.0,168.0,0.0,148049.0,6090.0,98097.0,187867.0,12314.0,1282560.0,2800.0,0.0,672.0,1175.0,2844.0,1195791.0,792.0,10699.0,2560.0,216151.0,5571.0,0.0,
0,200.0,200.0,23.0,499.0,1.0,0.0,50.0,13.0,114.0,0.0,0.0,9038.0,877.0,5899.0,7095.0,618.0,0.0,0.0,0.0,39.0,43.0,114.0,51729.0,43.0,681.0,0.0,10491.0,296.0,0.0,
1,380.0,200.0,33.0,999.0,2.0,0.0,24.0,9.0,134.0,3.0,0.0,7235.0,684.0,4043.0,1175.0,1290.0,64128.0,140.0,0.0,30.0,50.0,134.0,58380.0,30.0,432.0,128.0,11630.0,293.0,0.0,
2,560.0,200.0,25.0,1499.0,3.0,0.0,19.0,3.0,153.0,13.0,0.0,7171.0,301.0,5032.0,518.0,370.0,64128.0,140.0,0.0,43.0,56.0,153.0,54484.0,43.0,577.0,128.0,10454.0,276.0,0.0,
3,740.0,200.0,23.0,1999.0,4.0,0.0,27.0,8.0,142.0,5.0,0.0,6930.0,214.0,5055.0,181.0,459.0,64128.0,140.0,0.0,23.0,70.0,142.0,55057.0,41.0,566.0,128.0,11078.0,279.0,0.0,
4,920.0,200.0,30.0,2499.0,5.0,0.0,21.0,7.0,142.0,3.0,0.0,7755.0,260.0,5557.0,163828.0,492.0,64128.0,140.0,0.0,50.0,71.0,142.0,52413.0,45.0,586.0,128.0,10552.0,318.0,0.0,
5,1100.0,200.0,25.0,2999.0,6.0,0.0,30.0,11.0,134.0,10.0,0.0,8345.0,287.0,5641.0,6270.0,730.0,64128.0,140.0,0.0,36.0,56.0,134.0,48775.0,46.0,568.0,128.0,10638.0,281.0,0.0,
6,1280.0,200.0,25.0,3499.0,7.0,0.0,26.0,12.0,137.0,5.0,0.0,6335.0,276.0,4520.0,467.0,516.0,64128.0,140.0,0.0,28.0,60.0,137.0,51404.0,37.0,490.0,128.0,10679.0,291.0,0.0,
7,1460.0,200.0,31.0,3999.0,8.0,0.0,17.0,9.0,143.0,5.0,0.0,7885.0,193.0,4931.0,419.0,730.0,64128.0,140.0,0.0,20.0,60.0,143.0,69994.0,39.0,547.0,128.0,10841.0,251.0,0.0,
8,1640.0,200.0,26.0,4499.0,9.0,0.0,18.0,8.0,148.0,11.0,0.0,7769.0,271.0,5000.0,1139.0,593.0,64128.0,140.0,0.0,40.0,60.0,148.0,71049.0,47.0,551.0,128.0,11078.0,276.0,0.0,
9,1820.0,200.0,28.0,4999.0,10.0,0.0,19.0,4.0,149.0,6.0,0.0,6670.0,210.0,4446.0,437.0,448.0,64128.0,140.0,0.0,34.0,62.0,149.0,57211.0,37.0,478.0,128.0,11025.0,278.0,0.0,
10,2000.0,200.0,28.0,5499.0,11.0,0.0,23.0,5.0,144.0,8.0,0.0,6870.0,576.0,4230.0,256.0,649.0,64128.0,140.0,0.0,27.0,53.0,144.0,56197.0,31.0,462.0,128.0,11157.0,254.0,0.0,
11,2180.0,200.0,36.0,5999.0,12.0,0.0,15.0,10.0,139.0,8.0,0.0,7203.0,181.0,4889.0,248.0,481.0,64128.0,140.0,0.0,31.0,63.0,139.0,71358.0,41.0,555.0,128.0,10918.0,250.0,0.0,
12,2360.0,200.0,32.0,6499.0,13.0,0.0,18.0,6.0,144.0,16.0,0.0,7609.0,249.0,5089.0,265.0,410.0,64128.0,140.0,0.0,28.0,57.0,144.0,71246.0,44.0,582.0,128.0,11546.0,282.0,0.0,
13,2540.0,200.0,30.0,6999.0,14.0,0.0,13.0,10.0,147.0,12.0,0.0,7891.0,220.0,5224.0,261.0,588.0,64128.0,140.0,0.0,21.0,65.0,147.0,68537.0,41.0,589.0,128.0,10529.0,257.0,0.0,
14,2720.0,200.0,23.0,7499.0,15.0,0.0,17.0,12.0,148.0,10.0,0.0,7604.0,177.0,4766.0,761.0,782.0,64128.0,140.0,0.0,37.0,49.0,148.0,58346.0,35.0,537.0,128.0,9998.0,268.0,0.0,
15,2900.0,200.0,31.0,7999.0,16.0,0.0,12.0,9.0,148.0,3.0,0.0,6463.0,129.0,4309.0,628.0,371.0,64128.0,140.0,0.0,37.0,52.0,148.0,61613.0,34.0,478.0,128.0,9944.0,244.0,0.0,
16,3080.0,200.0,31.0,8499.0,17.0,0.0,20.0,2.0,147.0,11.0,0.0,6923.0,266.0,4560.0,228.0,503.0,64128.0,140.0,0.0,22.0,65.0,147.0,65879.0,45.0,475.0,128.0,12571.0,284.0,0.0,
17,3260.0,200.0,32.0,8999.0,18.0,0.0,23.0,4.0,141.0,11.0,0.0,7083.0,196.0,4844.0,1762.0,906.0,64128.0,140.0,0.0,52.0,52.0,141.0,64433.0,40.0,514.0,128.0,11305.0,298.0,0.0,
18,3440.0,200.0,31.0,9499.0,19.0,0.0,21.0,4.0,144.0,12.0,0.0,7747.0,290.0,4997.0,822.0,744.0,64128.0,140.0,0.0,39.0,64.0,144.0,63596.0,42.0,505.0,128.0,10627.0,310.0,0.0,
19,3620.0,200.0,25.0,9999.0,20.0,0.0,19.0,10.0,146.0,11.0,0.0,7523.0,233.0,5065.0,1107.0,634.0,64128.0,140.0,0.0,35.0,67.0,146.0,44090.0,31.0,526.0,128.0,9090.0,285.0,0.0,
20,3800.0,200.0,200.0,10000.0,20.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,64128.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,

number,name,age,generation,cycle,birthTurn,deathTurn,deathReason,parents,gene_Osteo_Pathway_Multiplier,gene_Osteo_Length_ECM,gene_Osteo_Width_ECM,gene_Osteo_Morphogenetic_Protein1,gene_Osteo_Morphogenetic_Protein2,gene_Osteo_Morphogenetic_Protein3,gene_Myo_Pathway_Multiplier,gene_Myo_Fast_Twitch_ECM,gene_Myo_Slow_Twitch_ECM,gene_Myo_Morphogenetic_Protein1,gene_Myo_Morphogenetic_Protein2,gene_Myo_Morphogenetic_Protein3,gene_Neuro_Pathway_Multiplier,gene_Neuro_3d_ECM,gene_Neuro_Morphogenetic_Protein_SensoryResolution,gene_Neuro_Morphogenetic_Protein_Hostile,gene_Neuro_Morphogenetic_Protein_Neutral,gene_Neuro_Morphogenetic_Protein_SelfProjectionPotential,gene_Neuro_Morphogenetic_Protein_MoodNegative,gene_Neuro_Morphogenetic_Protein_MoodPositive,gene_Neuro_Morphogenetic_Protein_Fight,gene_Neuro_Morphogenetic_Protein_Flight,weight,limbLength,boneDiameter,limbStructuralStrength,osteocyteGenesisEfficiency,muscleMass,muscleProteinSynthesis,myocyteGenesisEfficiency,muscleSpeed,muscleEndurance,muscleStrength,neuralMass,perceptionRadius,hostility,moodPositive,fightResponse,colonialCognitionCapacity,neurocyteGenesisEfficiency,eyeSize,cranialSize,facialLength,facialWidth,generalPhenotype,agreeability,speedOfLocomotion,fightingEffectiveness,resourceCarryingCapacity,crit,dodge,maxHp,
1,Jon1,53,0,d,0,53,Fight,Simulator,0.026073558977421807,0.19347349210805276,0.8065265078919472,0.5260447967962875,0.1178720966242014,0.6278453611841072,0.052301023610830555,0.7970332521815516,0.20296674781844837,0.4939111199707451,0.5623127097432811,0.21709263020165703,0.20836835547351362,0.05252295816433772,0.07570966479690633,0.7906800729123363,0.20931992708766367,0.36907297614128,0.8802673604197606,0.11973263958023939,0.8736547114484852,0.12634528855151483,0.3586181938087509,0.19347349210805276,0.8065265078919472,0.23988485215909727,0.26478187451188795,0.21709263020165703,0.21709263020165703,3.720366342365655,3.671397096443065,0.20767537527951793,2.5168231893885493,0.05252295816433772,0.06411631148062202,0.6677368583330242,0.08612779887228855,0.8322296205894265,0.21079796715280885,0.02315203949705707,0.13745713931671544,0.05269949178820221,0.04836837302701319,0.05997121303977432,1.0,0.3322631416669758,2.5018304897476518,2.2686007446520278,1.0460744092126688,0.03939221862325329,1.6810177327061855,1.3361000854582,
2,Robb2,487,0,gd,0,487,Starvation,Simulator,0.9010471641796606,0.5425910808217461,0.4574089191782539,0.9379303451594184,0.3063731370827658,0.21548145226227022,0.54063911297009,0.4767001806489587,0.5232998193510413,0.13025101127134953,0.7491916056663553,0.9238841210488026,0.6508317013274392,0.8930822412084196,0.1214391925934919,0.130727345936686,0.869272654063314,0.2836573197748944,0.4666379113481903,0.5333620886518097,0.37589095240916304,0.624109047590837,0.7317347890761544,0.5425910808217461,0.4574089191782539,1.186227592143424,0.6523758525727551,0.9238841210488026,0.9238841210488026,3.982017505153724,0.5159739947774011,0.6568279199169617,0.5629253031572546,0.8930822412084196,0.5072607169009558,0.39934131432121905,0.7132221649301147,0.3594752635523576,0.588369780491657,0.07231463348082658,0.5478152486963064,0.14709244512291425,0.13564777020543653,0.296556898035856,3.0,0.600658685678781,0.5731995592423118,0.6762087142465009,0.6122963466320486,0.6698116809063147,0.6054035997969794,1.5689026637357684,
3,Tywin3,112,0,gd,0,112,Fight,Simulator,0.169961347078175,0.5948962849972289,0.4051037150027711,0.5021575773888398,0.328058076077688,0.7045619831687717,0.287748058455808,0.2567085046803188,0.7432914953196812,0.5450770789592151,0.6516617554411097,0.7196879926581812,0.3529587238480374,0.7149791873146228,0.014646570608868537,0.5192285479609884,0.4807714520390116,0.9161520052022232,0.9632996039980799,0.0367003960019201,0.21690843685430872,0.7830915631456913,0.6113066971845625,0.5948962849972289,0.4051037150027711,1.4685036521898092,0.37494006615832987,0.7196879926581812,0.7196879926581812,4.429183164605116,0.356694160940717,0.7354236610991812,0.4829373276602051,0.7149791873146228,0.3648128789617457,0.6206320379897671,0.37583979165827147,0.41965228001002824,0.815565596258423,0.039217635983115263,0.5901892376100843,0.20389139906460574,0.14872407124930723,0.3671259130474523,3.0,0.37936796201023293,0.4794874915083625,0.6274066636790638,0.6308352329302852,0.5362343904859671,0.49840312450089735,1.614446955582187,
4,Joffrey4,389,0,gd,0,389,Starvation,Simulator,0.11882329482717302,0.6373396093842907,0.3626603906157093,0.8000266038699038,0.25688288253213554,0.17201326058620892,0.19397484065012216,0.025518274047451883,0.9744817259525481,0.498261413570121,0.28524347181378273,0.8480965392153105,0.08924813154646238,0.44050602776981806,0.1929728558761853,0.8902572780732382,0.10974272192676182,0.7502368108689321,0.23601787331775603,0.763982126682244,0.8227906618046112,0.17720933819538875,0.621065148004494,0.6373396093842907,0.3626603906157093,1.7574006587878062,0.29331386732851883,0.8480965392153105,0.8480965392153105,4.347119887925008,0.030088878880536775,0.9323533303734689,0.3308436960448475,0.44050602776981806,0.3167394418230017,0.5315687878477486,0.602244077226031,0.643726508557735,0.5953714193193751,0.009916459060718042,0.45605543057118836,0.14884285482984377,0.15933490234607267,0.43935016469695154,2.0,0.46843121215225136,0.2895143542895826,0.5105839836426301,0.6868031250731358,0.33037952082736355,0.30313607646884294,1.5501167381047483,
5,Caitlyn5,185,0,gd,0,185,Fight,Simulator,0.9226801852438345,0.22910025171286563,0.7708997482871344,0.2964140514808786,0.7824127800412372,0.5670951667478032,0.6155547932421028,0.17504124034026602,0.824958759659734,0.8495766140947872,0.7240107820731375,0.514864179258893,0.9539451387807525,0.10096956780870825,0.9533775426974214,0.9081169524051605,0.09188304759483945,0.7614017766758172,0.047117980896960066,0.9528820191030399,0.450187603583027,0.549812396416973,0.48806597912464594,0.22910025171286563,0.7708997482871344,0.29718553186961666,0.6982564737515177,0.514864179258893,0.514864179258893,5.378691551755443,0.3399755651912399,0.7215938995261203,0.4671816766362,0.10096956780870825,0.5271735552530648,0.48880873332553015,0.5269257934558741,0.4655645367589275,0.43118567224226273,0.1059939043089725,0.4791796137476637,0.10779641806056568,0.05727506292821641,0.07429638296740416,2.0,0.5111912666744698,0.3632889765082281,0.3947430591072224,0.5843082141285807,0.07572717585653119,0.26743504295766246,2.0609806432719777,
6,Melisandra6,508,0,grd,0,508,Wounds,Simulator,0.946741627048534,0.9451519569971456,0.054848043002854396,0.21764632884925683,0.9783076837807705,0.539782567960696,0.5185998927165107,0.3250762739096764,0.6749237260903236,0.9925406155850287,0.87692294922427,0.7193451106997266,0.5035085657940084,0.4511822841846158,0.7132806990600328,0.38237642926458126,0.6176235707354187,0.37598210672616994,0.5883141062724624,0.4116858937275376,0.47557269265972035,0.5244273073402796,0.5234379513266643,0.9451519569971456,0.054848043002854396,17.232191072851187,0.7258439669375584,0.7193451106997266,0.7193451106997266,4.814464497974612,0.4519058642012119,0.6897308542934578,0.5311808608986271,0.4511822841846158,0.5822314916223243,0.4926726338842609,0.4314340889560767,0.5030959825619062,0.4135821954553929,0.055945396199334266,0.4979068435388586,0.10339554886384822,0.2362879892492864,4.308047768212797,2.0,0.5073273661157391,0.6254113156982548,3.4495276159885835,0.6552964114865819,0.33838671313846186,0.5297364481783239,1.865417953703835,
7,Eddard7,1,0,gd,0,1,Fight,Simulator,0.9447962207290725,0.7519297644667332,0.2480702355332668,0.7795713155240955,0.9436194808781153,0.6560504605760977,0.8254046653293,0.4179520020768085,0.5820479979231915,0.9985871007263222,0.37598375700585884,0.9512593546453587,0.5934543825123014,0.44071430390673194,0.6335034200109593,0.7181754789405068,0.2818245210594932,0.5264220115666587,0.5578165049226833,0.4421834950773167,0.6716931355326272,0.3283068644673728,0.6489375147680106,0.7519297644667332,0.2480702355332668,3.031116420921436,0.8537667396872907,0.9512593546453587,0.9512593546453587,4.9552533401848455,0.43936703490566587,0.7051184501639138,0.5279508399917485,0.44071430390673194,0.5371088619588456,0.5689979959657976,0.4414488994920243,0.6177338418847569,0.4835681577366953,0.06593937583470016,0.5103385098477704,0.12089203943417383,0.1879824411166833,0.757779105230359,3.0,0.4310020040342024,0.5756175157967294,0.9526547965696951,0.6449494386742919,0.33053572793004893,0.4939235865078359,1.9583198185689454,
8,Eddard8,27,0,gd,0,27,Fight,Simulator,0.6595728016951588,0.40956243303832884,0.5904375669616712,0.42809710046026783,0.7621874143225126,0.1886184714653678,0.9534213758982438,0.6205699904573752,0.37943000954262485,0.0154867681558436,0.6364790668258806,0.8191544488473106,0.27739332533954597,0.27591788683591745,0.24341805438527553,0.6000262028647538,0.39997379713524617,0.5850197841946753,0.9834924117410059,0.01650758825899412,0.13949232459096605,0.860507675409034,0.6176884000485029,0.40956243303832884,0.5904375669616712,0.6936591706823356,0.5396097179276932,0.8191544488473106,0.8191544488473106,4.504030445705055,0.7575738510980713,0.5260048226441868,0.6803841749467764,0.27591788683591745,0.2596679706105965,0.64587965365144,0.14621273754745578,0.44466289132147907,0.43046883551529636,0.030821480593282886,0.3450684030629464,0.10761720887882409,0.10239060825958221,0.1734147926705839,2.0,0.35412034634856004,0.6809548368536597,0.7025942628478293,0.5715570971536867,0.20693841512693809,0.5229493629447525,1.6914872147420104,
9,Tywin9,26,0,gd,0,26,Starvation,Simulator,0.780323702998835,0.21442068365450428,0.7855793163454957,0.38914388004878275,0.6419869885443709,0.8274449235248064,0.581073377428934,0.5941236884957398,0.4058763115042602,0.891285915002391,0.014536326590744553,0.8860702183073956,0.49625226740974393,0.6658396652410933,0.22129778223378294,0.1251922008524361,0.8748077991475639,0.5344291933859897,0.09542210673031726,0.9045778932696827,0.3831832329457151,0.6168167670542849,0.7299470909298252,0.21442068365450428,0.7855793163454957,0.2729459383579323,0.6838446396231259,0.8860702183073956,0.8860702183073956,4.3465348185714525,0.6705153567068951,0.5659409471053053,0.6356572201730318,0.6658396652410933,0.4435687237374381,0.30515357689568834,0.785208779255388,0.32157781588293266,0.6001344293135416,0.05513914082330488,0.5218515765254899,0.1500336073283854,0.05360517091362607,0.06823648458948307,3.0,0.6948464231043117,0.5824074825422833,0.5950451446007652,0.5593359315434967,0.49937974893081993,0.5547315713384622,1.6951728663392942,
10,Brandon10,74,0,gd,0,74,Fight,Simulator,0.9698689801615133,0.698988382756093,0.301011617243907,0.19028497916662956,0.7000511479029822,0.6842028647358129,0.46883010557792826,0.3794849451634863,0.6205150548365137,0.9743111686099962,0.7747907018562593,0.7831757416988008,0.6572554420632036,0.12141619892967992,0.7675871506890579,0.41569005248455404,0.584309947515446,0.7791252045537055,0.9620233170948417,0.03797668290515832,0.4211855701665954,0.5788144298334046,0.538850720181427,0.698988382756093,0.301011617243907,2.322130916926402,0.7028553904256902,0.7831757416988008,0.7831757416988008,5.240699919906946,0.48454634759286414,0.6747352837906094,0.5479426596587792,0.12141619892967992,0.4445016748093689,0.5944283423948489,0.07969644091741912,0.5892757604526552,0.4502707017416927,0.07302838245146707,0.4473861882755308,0.11256767543542318,0.17474709568902325,0.5805327292316005,2.0,0.4055716576051511,0.5821628277078752,0.8375898961559952,0.6308337021940787,0.09106214919725994,0.41846260153767006,2.005527897594701,
